Territorio,Tipo de territorio,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barcelona,Municipi,2460.69,2247.57,2304.56,2557.81,2712.51,3139.51,3377.89,3299.96,3286.10,3325.88,3593.72,3619.92,3855.35,4237.84
Ciutat Vella,Districte,2355.40,2266.12,2386.83,2705.46,2988.75,3457,3833.12,3592.33,3584.49,3514.58,3751.72,3749.05,3827.99,4101.04
el Raval,Barri,1816.11,1634.58,1809.39,2345.31,2466.99,2824.09,3290.68,3088.47,2910.10,2818.79,3175.14,3203.66,3110.25,3478.98
el Barri Gòtic,Barri,2409.44,2340.43,2715.61,2749.99,3456.32,3860.89,4483.02,3823.27,4183.06,4432.99,4358.90,3946.86,4434.83,4399.15
la Barceloneta,Barri,2873.50,2789.38,3130.85,3021.22,3502.87,4228.47,4510.32,4145.65,3779.24,3851.29,4032.78,4264.59,4580.25,5089.87
"Sant Pere, Santa Caterina i la Ribera",Barri,2789.66,2748.83,2566.07,2980.33,3239.15,4053.51,4073.25,3977.47,4344.93,3670.45,4057.40,4212.73,4368.58,4448.05
Eixample,Districte,2736.31,2619.38,2682.90,2983.03,3380.77,3868.65,4111.17,4032.45,3977.15,4033.82,4361.93,4582.23,4866.90,5285.93
el Fort Pienc,Barri,2592.81,2210.45,2426.46,2766.65,2933.03,3420.88,3782.29,3545.44,3492.44,3718.84,3938.31,3933.92,4253.40,4787.28
la Sagrada Família,Barri,2380.42,2303.75,2242.02,2581.22,2995.36,3518.97,3658.04,3551.40,3460.39,3607.28,3835.98,4125.33,4566.29,4826.02
la Dreta de l'Eixample,Barri,3164.80,3410.70,3325.70,3622.76,4229.16,4738.08,5137.60,4925.72,5253.03,4784.89,5351.00,5522.94,5888.20,6051.28
l'Antiga Esquerra de l'Eixample,Barri,2892.82,2605.97,2873.78,3203.90,3688.83,4189.93,4265.92,4153.56,4449.63,4360.40,4634.35,4887.56,5228.42,5806.93
la Nova Esquerra de l'Eixample,Barri,2739.32,2431.87,2625.19,2877.24,3171.74,3592.73,3951.26,3872.97,3775.74,3864.30,4127.29,4295.24,4499.91,5189.06
Sant Antoni,Barri,2578.67,2346.82,2404.33,2623.38,2985.53,3553.28,3881.45,4022.13,3576.55,3787.99,4153.51,4269.36,4278.63,4610.21
Sants-Montjuïc,Districte,1965.15,1739.24,1842.97,2165.93,2353.76,2798.73,3137.35,3153.22,3091.90,3112.09,3220.15,3304.58,3407.92,3857.11
el Poble-sec,Barri,2116.41,1805.08,1753.90,2160.25,2587.60,3212.48,3501.62,3579.51,3331.30,3273.84,3496.13,3663.73,3861.27,4024.04
la Marina del Prat Vermell,Barri,-,-,557.33,1436.33,1100,1465.40,1214,943.43,1407.43,1081.33,1143.33,-,2619.19,2724.27
la Marina de Port,Barri,1522.82,1601.09,1518.02,2046.25,1982.96,2112.23,2388.17,2639.68,2279.47,2490.59,2345.74,2680.39,2640.59,2937.93
la Font de la Guatlla,Barri,1947.69,1919.20,2028.79,2218.51,2247.74,2854.11,2977.27,3160.90,3245,3448.01,3218.76,3170.34,3467.24,4034.07
Hostafrancs,Barri,2450.70,1374.09,1956.09,2053.58,2229.53,2740.51,3256.35,3053.97,3349.18,3352.76,3399.71,3159.78,3601.78,4068.09
la Bordeta,Barri,2017.44,1714.76,1794.01,2175.22,2054.92,2585.38,3048.29,3193.01,2983.34,3047.22,3019.47,3162.24,3329.91,3858.61
Sants - Badal,Barri,1932.69,1732.83,1953.81,2079.78,2401.72,2692.30,2991.05,2951.02,3117.09,3018.24,3242.97,3407.35,3490.02,3914.96
Sants,Barri,2051.12,1906.65,2115.02,2349.03,2512.32,3077.75,3417.85,3165.68,3366.71,3312.96,3609.65,3650.88,3731.99,4272.62
Les Corts,Districte,2973.55,2856.93,2981.29,3076.46,3283.75,3840.82,4204.24,3979.67,4105.19,4000.79,4151.99,4259.74,4666.13,5108.62
les Corts,Barri,2913.86,2814.77,2846.48,2913.00,3449.65,3852.36,4203.22,3970.28,4140.62,4061.50,4248.98,4283.40,4724.97,5159.97
la Maternitat i Sant Ramon,Barri,2373.04,2387.89,2560.53,2952.62,2894.44,3329.56,3819.74,3412.72,3579.33,3516.43,3722.27,3846.57,4218.51,4364.31
Pedralbes,Barri,4047.15,3530.38,3914.31,3892.90,3348.79,4643.59,5106.93,4936.77,4770.92,4786.75,4532.31,4898.13,5168.15,6168.59
Sarrià-Sant Gervasi,Districte,3339.36,3104.64,3108.13,3508.59,3749.52,4310.40,4710.31,4473.91,4387.83,4562.69,4811.17,5053.77,5180.46,5584.90
"Vallvidrera, el Tibidabo i les Planes",Barri,2488.67,2125.86,2160.21,-,3496,2686.40,3447.89,2885.10,3260.14,2712.53,2949.40,2804.11,4594.50,3687.40
Sarrià,Barri,4053.18,3524.51,3450.44,3785.28,4010.27,4691.44,5240.45,4860.73,4964.38,4814.56,5305.49,5591.32,5975.88,6168.35
les Tres Torres,Barri,3373.73,3561.55,3569.28,4049.57,4292.17,4644.35,4944.78,4415.33,4258.73,4489.77,5017.07,5336.44,5172.50,5725.18
Sant Gervasi - la Bonanova,Barri,3024.25,3135.39,3126.69,3501.57,3518.41,4253.12,4724.87,4650.19,4241.03,4368,4511.05,5100.11,5281.76,5400.31
Sant Gervasi - Galvany,Barri,3522.92,3054.47,3075.08,3604.17,4011.49,4463.13,4805.13,4571.69,4642.24,4845.78,5000.99,5265.92,5160.27,5905.41
el Putxet i el Farró,Barri,2966.17,2581.56,2630.58,2867.40,3057.24,3860.43,4140.60,4000.22,3730.63,4166.80,4364.77,4179.08,4630.43,4772.63
Gràcia,Districte,2589.84,2369.04,2374.33,2574.77,2928.47,3444.97,3823.52,3734.44,3695.00,3717.25,3990.42,4058.68,4319.85,4791.99
Vallcarca i els Penitents,Barri,2526.38,2426.03,2267.56,2539.28,2815.87,3031.77,3274.55,3206.03,3428.57,3449.74,3505.28,3579.48,4039.99,4176.16
el Coll,Barri,1656.14,1946.08,1788.03,2021.80,1975.10,2207.14,2608.24,2686.73,3066.07,2546.63,3217.79,2777.86,2922.93,3520.62
la Salut,Barri,2668.06,2406,2246.23,2543.46,2718.75,3293.11,3366.56,3487.57,3268.30,3555.49,3667.54,3478.51,4054.11,4424.52
la Vila de Gràcia,Barri,2662.76,2424.93,2479.48,2615.30,3124.88,3757.83,4038.73,4063.58,3950.37,3924.24,4352.03,4574.54,4691.65,5061.41
