Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2022-01-01,1,Ciutat Vella,1,el Raval,7,1,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,16,2,1
2022-01-01,1,Ciutat Vella,1,el Raval,22,2,2
2022-01-01,1,Ciutat Vella,1,el Raval,653,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,1078,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,4,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,4,2
2022-01-01,1,Ciutat Vella,1,el Raval,59,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,160,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,109,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,156,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,228,7,1
2022-01-01,1,Ciutat Vella,1,el Raval,220,7,2
2022-01-01,1,Ciutat Vella,1,el Raval,1266,8,1
2022-01-01,1,Ciutat Vella,1,el Raval,1302,8,2
2022-01-01,1,Ciutat Vella,1,el Raval,142,9,1
2022-01-01,1,Ciutat Vella,1,el Raval,124,9,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,10,1
2022-01-01,1,Ciutat Vella,1,el Raval,14,10,2
2022-01-01,1,Ciutat Vella,1,el Raval,193,11,1
2022-01-01,1,Ciutat Vella,1,el Raval,168,11,2
2022-01-01,1,Ciutat Vella,1,el Raval,2740,12,1
2022-01-01,1,Ciutat Vella,1,el Raval,5048,12,2
2022-01-01,1,Ciutat Vella,1,el Raval,2125,13,1
2022-01-01,1,Ciutat Vella,1,el Raval,1751,13,2
2022-01-01,1,Ciutat Vella,1,el Raval,194,14,1
2022-01-01,1,Ciutat Vella,1,el Raval,238,14,2
2022-01-01,1,Ciutat Vella,1,el Raval,572,15,1
2022-01-01,1,Ciutat Vella,1,el Raval,388,15,2
2022-01-01,1,Ciutat Vella,1,el Raval,463,16,1
2022-01-01,1,Ciutat Vella,1,el Raval,551,16,2
2022-01-01,1,Ciutat Vella,1,el Raval,12143,17,1
2022-01-01,1,Ciutat Vella,1,el Raval,12606,17,2
2022-01-01,1,Ciutat Vella,1,el Raval,814,18,1
2022-01-01,1,Ciutat Vella,1,el Raval,906,18,2
2022-01-01,1,Ciutat Vella,1,el Raval,10,19,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,19,2
2022-01-01,1,Ciutat Vella,1,el Raval,13,23,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,23,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,16,2,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,2,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,308,3,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,986,3,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,41,5,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,205,5,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,57,6,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,48,6,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,252,7,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,179,7,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,841,8,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,789,8,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,140,9,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,131,9,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,10,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,10,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,101,11,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,83,11,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,478,12,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,4774,12,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,195,13,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,130,13,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,103,14,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,115,14,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,406,15,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,327,15,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,392,16,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,447,16,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,4792,17,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,5012,17,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,666,18,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,657,18,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,14,19,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,16,19,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,23,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,23,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,146,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,256,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,5,5,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,28,5,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,33,6,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,39,6,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,96,7,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,87,7,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,571,8,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,533,8,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,60,9,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,68,9,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,10,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,10,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,36,11,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,31,11,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,131,12,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,417,12,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,19,13,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,11,13,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,52,14,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,57,14,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,340,15,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,202,15,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,244,16,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,244,16,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,5093,17,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,4741,17,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,375,18,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,386,18,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,9,19,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,10,19,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,1,1
