Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2024-01-01,1,Ciutat Vella,1,el Raval,90,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,17,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,164,1,3
2024-01-01,1,Ciutat Vella,1,el Raval,..,1,4
2024-01-01,1,Ciutat Vella,1,el Raval,68,1,5
2024-01-01,1,Ciutat Vella,1,el Raval,1511,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,230,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1072,2,3
2024-01-01,1,Ciutat Vella,1,el Raval,172,2,4
2024-01-01,1,Ciutat Vella,1,el Raval,6117,2,5
2024-01-01,1,Ciutat Vella,1,el Raval,..,2,6
2024-01-01,1,Ciutat Vella,1,el Raval,2466,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,322,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,621,3,3
2024-01-01,1,Ciutat Vella,1,el Raval,388,3,4
2024-01-01,1,Ciutat Vella,1,el Raval,6880,3,5
2024-01-01,1,Ciutat Vella,1,el Raval,..,3,6
2024-01-01,1,Ciutat Vella,1,el Raval,1672,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,328,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,595,4,3
2024-01-01,1,Ciutat Vella,1,el Raval,855,4,4
2024-01-01,1,Ciutat Vella,1,el Raval,5203,4,5
2024-01-01,1,Ciutat Vella,1,el Raval,..,4,6
2024-01-01,1,Ciutat Vella,1,el Raval,1305,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,658,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,1138,5,3
2024-01-01,1,Ciutat Vella,1,el Raval,2213,5,4
2024-01-01,1,Ciutat Vella,1,el Raval,6487,5,5
2024-01-01,1,Ciutat Vella,1,el Raval,21,5,6
2024-01-01,1,Ciutat Vella,1,el Raval,15,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,10,6,5
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,20,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,64,1,3
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,1,4
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,77,1,5
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,464,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,103,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,347,2,3
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,165,2,4
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,4188,2,5
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,6
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,949,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,152,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,267,3,3
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,266,3,4
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,5438,3,5
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,3,6
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,899,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,176,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,301,4,3
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,603,4,4
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,3425,4,5
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,6
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,894,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,344,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,518,5,3
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,1488,5,4
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,4096,5,5
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,5,6
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,6,3
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,6,5
2024-01-01,1,Ciutat Vella,3,la Barceloneta,75,1,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,8,1,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,90,1,3
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,4
2024-01-01,1,Ciutat Vella,3,la Barceloneta,10,1,5
2024-01-01,1,Ciutat Vella,3,la Barceloneta,1045,2,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,78,2,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,484,2,3
2024-01-01,1,Ciutat Vella,3,la Barceloneta,54,2,4
2024-01-01,1,Ciutat Vella,3,la Barceloneta,609,2,5
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,6
2024-01-01,1,Ciutat Vella,3,la Barceloneta,1605,3,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,155,3,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,308,3,3
2024-01-01,1,Ciutat Vella,3,la Barceloneta,198,3,4
2024-01-01,1,Ciutat Vella,3,la Barceloneta,918,3,5
2024-01-01,1,Ciutat Vella,3,la Barceloneta,986,4,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,115,4,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,209,4,3
2024-01-01,1,Ciutat Vella,3,la Barceloneta,504,4,4
2024-01-01,1,Ciutat Vella,3,la Barceloneta,1360,4,5
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,6
2024-01-01,1,Ciutat Vella,3,la Barceloneta,523,5,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,166,5,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,282,5,3
2024-01-01,1,Ciutat Vella,3,la Barceloneta,1214,5,4
2024-01-01,1,Ciutat Vella,3,la Barceloneta,2419,5,5
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,5,6
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,6,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,6,5
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",42,1,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7,1,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",89,1,3
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,1,4
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14,1,5
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",743,2,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",109,2,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",589,2,3
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",103,2,4
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1084,2,5
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1365,3,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",176,3,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",387,3,3
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",243,3,4
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1467,3,5
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,3,6
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1324,4,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",238,4,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",386,4,3
